ATC_level,Group,Description ,中文,Malignancy,P0,P1,P2,P3,P3.num,Event_Nonregular_user,Event_Regular_user,HR_multip0,HR_multip1,HR_multip2,HR_multip3,FDR
Level 2,A01,Stomatological preparations,口腔科制剂,cancer,<0.001,<0.001,<0.001,0.957,0.95679915,40134(10.08%),9543(14.53%),1.491(1.458-1.525),1.08(1.055-1.105),1.051(1.026-1.075),0.999(0.975-1.024),0.967180909
Level 2,A02,Drugs for acid-related disorders,与酸有关的疾病的药物,cancer,<0.001,<0.001,<0.001,0.045,0.045439471,42581(10.37%),7096(13.31%),1.321(1.288-1.355),1.108(1.08-1.136),1.069(1.042-1.096),1.027(1.001-1.055),0.116844354
Level 2,A03,Drugs for functional gastrointestinal disorders,胃肠道功能紊乱的药物,cancer,0.008,0.054,0.197,0.815,0.815299278,49031(10.7%),646(11.71%),1.11(1.027-1.2),1.079(0.999-1.166),1.053(0.974-1.138),1.009(0.934-1.091),0.923728261
Level 2,A06,Laxatives,泻药,cancer,<0.001,0.442,0.782,0.386,0.386167431,48773(10.69%),904(12.25%),1.161(1.087-1.24),1.026(0.961-1.096),1.009(0.945-1.078),0.971(0.909-1.038),0.534693366
Level 2,A07,"Antidiarrheals, intestinal anti-inflammatory/anti-infective agents",止泻剂、肠道抗炎、抗感染剂,cancer,<0.001,<0.001,<0.001,0.008,0.008006457,47570(10.63%),2107(12.82%),1.241(1.188-1.296),1.124(1.076-1.174),1.107(1.059-1.156),1.062(1.016-1.11),0.03088205
Level 2,A08,"Antiobesity preparations, excluding diet products",抗肥胖制剂，不包括减肥产品,cancer,0.851,0.231,0.753,0.806,0.806422022,49552(10.71%),125(10.8%),1.017(0.853-1.212),1.113(0.934-1.327),1.029(0.863-1.227),0.978(0.82-1.167),0.923728261
Level 2,A10,Drugs used in diabetes,用于糖尿病的药物,cancer,<0.001,<0.001,<0.001,0.291,0.290916049,47232(10.58%),2445(14.11%),1.417(1.361-1.476),1.158(1.111-1.206),1.105(1.06-1.152),0.962(0.895-1.034),0.42458018
Level 2,A11,Vitamins,维生素类,cancer,<0.001,0.159,0.721,0.861,0.860814934,44002(10.63%),5675(11.41%),1.048(1.02-1.078),0.98(0.953-1.008),0.995(0.968-1.023),0.998(0.97-1.026),0.938106868
Level 2,A12,Mineral supplements,矿物质补充剂,cancer,0.021,0.003,0.022,0.004,0.003582248,47442(10.69%),2235(11.17%),1.051(1.007-1.097),0.937(0.898-0.978),0.951(0.911-0.993),0.938(0.898-0.979),0.019344141
Level 2,B01,Antithrombotic agents,抗血栓剂,cancer,<0.001,<0.001,<0.001,0.569,0.569252451,39366(9.99%),10311(14.81%),1.545(1.512-1.579),1.094(1.069-1.119),1.063(1.039-1.087),1.007(0.983-1.032),0.731896009
